id,name,party,sector,country,type
lk,Lars Klingbeil,SPD,Politik,Deutschland,Person
500,Folge 500,NA,NA,NA
501,Folge 501,NA,NA,NA
502,Folge 502,NA,NA,NA
503,Folge 503,NA,NA,NA
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland,Person
nr,Norbert Röttgen,CDU,Politk,Deutschland,Person
sw,Sahra Wagenknecht,Linke,Politk,Deutschland,Person
cs,Constanze Stelzenmüller,,Jura,Deutschland,Person
cl,Christian Lindner,FDP,Politik,Deutschland,Person
ks,Karl Schlögel,,Geschichte,Deutschland,Person
lm,Ljudmyla Melnyk,,Politik,Ukraine,Person
kd,Kristina Dunz,,Journalismus,Deutschland,Person
el,Egils Levits,,Politik,Lettland,Person
ab,Annalena Baerbock,Grüne,Politik,Deutschland,Person
ft,Frans Timmermans,,Politik,Niederlande,Person
am,Andrij Melnyk,,Politik,Ukraine,Person
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland,Person
er,Egon Ramms,,Bundeswehr,Deutschland,Person
rh,Robert Habeck,Grüne,Politik,Deutschland,Person
cm,Claudia Major,,Politik,Deutschland,Person
kp,Katja Petrowskaja,,Journalismus,Ukraine,Person
rk,Roderich Kiesewetter,CDU,Politik,Deutschland,Person
SPD,SPD,SPD,,,Partei
CDU,CDU,CDU,,,Partei
Linke,Linke,Linke,,,Partei
FDP,FDP,FDP,,,Partei
Grüne,Grüne,Grüne,,,Partei
